product_code,description,cost_price,selling_price,markup_percent,vendor_name,category
DS-2CE16D0T-EXIPF(2.8MM)_C,"Hikvision Turbo HD 2MP bullet, 2.8mm lens, 20m IR, 12VDC",178.57,258.93,45,Sensor Security,Surveillance
DS-2CE16D0T-LPFS 2.8MM,"Hikvision Turbo HD 2MP bullet, 2.8mm lens, 20m hybrid IR/white light microphone 12VDC",322.62,467.8,45,Sensor Security,Surveillance
DS-2CE16D0T-LFS 2.8MM,Hikvision Turbo HD hybrid 2MP bullet  2.8mm lens 20m hybrid IR/white light microphone 12VDC,345.24,500.6,45,Sensor Security,Surveillance
DS-2CE16D0T-LFS 3.6MM,Hikvision Turbo HD hybrid 2MP bullet 3.6mm lens 20m hybrid IR/white light microphone 12VDC,336.9,488.5,45,Sensor Security,Surveillance
DS-2CE16D0T-LPXTS 2.8MM,"Hikvision Turbo HD 2MP bullet, 2.8mm lens, 20m hybrid light, microphone, two-way audio & siren, 12VDC",476.19,690.48,45,Sensor Security,Surveillance
DS-2CE17D0T-IT5F3.6MM_C,Hikvision Turbo HD 2MP bullet  3.6mm lens   80m IR  12VDC,428.57,621.43,45,Sensor Security,Surveillance
DS-2CE17D0T-LXTS 2.8MM,"Hikvision Turbo HD 2MP bullet, 2.8mm lens, 40m hybrid light, microphone, two-way audio & siren, 12VDC",628.57,911.43,45,Sensor Security,Surveillance
DS-2CE17D0T-LXTS 3.6MM,"Hikvision Turbo HD 2MP bullet, 3.6mm lens, 40m hybrid light, microphone, two-way audio & siren, 12VDC",617.86,895.9,45,Sensor Security,Surveillance
DS-2CE18D0T-LFS 2.8MM,Hikvision Turbo HD 2MP bullet  2.8mm lens 60m hybrid IR/white light microphone 12VDC,439.29,636.97,45,Sensor Security,Surveillance
DS-2CE18D0T-LFS 6MM,Hikvision Turbo HD 2MP bullet  6mm lens 60m hybrid IR/white light microphone 12VDC,415.25,602.11,45,Sensor Security,Surveillance
DS-2CE19D0T-VFIT3F 2.7-13.5MM,Hikvision Turbo HD 2MP bullet  2.7-13.5mm lens  40m IR 12VDC,631.19,915.23,45,Sensor Security,Surveillance
DS-2CE16K0T-LFS 2.8MM,Hikvision Turbo HD 5MP bullet  2.8mm lens 20m hybrid IR/white light 12VDC,445.24,645.6,45,Sensor Security,Surveillance
DS-2CE17K0T-LFS 2.8MM,Hikvision Turbo HD 5MP bullet  2.8mm lens 20m hybrid-light 12VDC,469.48,680.75,45,Sensor Security,Surveillance
